survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_imputed
0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False,18.0
0,3,male,,3,1,25.4667,S,Third,man,True,,Southampton,no,False,6.967190476190478
0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,50.0
0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,30.0
0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,36.0
0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False,8.774999999999999
0,2,male,,0,0,15.05,C,Second,man,True,,Cherbourg,no,True,29.48
0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False,9.0
1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,1.0
1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,4.0
0,1,male,,0,0,50.0,S,First,man,True,A,Southampton,no,True,36.48
1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,19.53
1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,45.0
0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False,40.0
0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,36.0
1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,32.0
0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,19.0
1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,19.0
1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,3.0
1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,44.0
1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,58.0
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,47.89965476190478
0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False,42.0
1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,18.328000000000003
0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,24.0
0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,28.0
0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,9.062333333333331
0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True,34.0
0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,45.5
1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,18.0
0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,2.0
0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,32.0
1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True,26.0
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,16.0
1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,40.0
0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,24.0
1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True,35.0
0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,22.0
0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,30.0
0,3,male,,1,0,7.75,Q,Third,man,True,,Queenstown,no,False,37.582726190476194
1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,31.0
1,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,27.0
0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False,42.0
1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,32.0
0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,30.0
1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,16.0
0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,27.0
0,3,male,51.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,51.0
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,26.959105530090824
1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False,38.0
0,3,male,22.0,0,0,9.35,S,Third,man,True,,Southampton,no,True,22.0
1,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True,19.0
0,3,male,20.5,0,0,7.25,S,Third,man,True,,Southampton,no,True,20.5
0,2,male,18.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,18.0
0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,7.524190476190478
1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False,35.0
0,3,male,29.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,29.0
0,2,male,59.0,0,0,13.5,S,Second,man,True,,Southampton,no,True,59.0
1,3,female,5.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,5.0
0,2,male,24.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,24.0
0,3,female,,0,0,7.55,S,Third,woman,False,,Southampton,no,True,35.126333333333335
0,2,male,44.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,44.0
1,2,female,8.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False,8.0
0,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,19.0
0,2,male,33.0,0,0,12.275,S,Second,man,True,,Southampton,no,True,33.0
0,3,female,,1,0,14.4542,C,Third,woman,False,,Cherbourg,no,False,23.045
1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,19.53
0,2,male,29.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,29.0
0,3,male,22.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,22.0
0,3,male,30.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,30.0
0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,44.0
0,3,female,25.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True,25.0
1,2,female,24.0,0,2,14.5,S,Second,woman,False,,Southampton,yes,False,24.0
1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,37.0
0,2,male,54.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,54.0
0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True,32.965358946608944
0,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False,29.0
0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True,62.0
0,3,male,30.0,1,0,16.1,S,Third,man,True,,Southampton,no,False,30.0
0,3,female,41.0,0,2,20.2125,S,Third,woman,False,,Southampton,no,False,41.0
1,3,female,29.0,0,2,15.2458,C,Third,woman,False,,Cherbourg,yes,False,29.0
1,1,female,,0,0,79.2,C,First,woman,False,,Cherbourg,yes,True,32.50333333333333
1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,30.0
1,1,female,35.0,0,0,512.3292,C,First,woman,False,,Cherbourg,yes,True,35.0
1,2,female,50.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False,50.0
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,47.89965476190478
1,3,male,3.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,3.0
0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False,52.0
0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True,40.0
0,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True,24.029142857142855
0,2,male,36.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,36.0
0,3,male,16.0,4,1,39.6875,S,Third,man,True,,Southampton,no,False,16.0
1,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,yes,False,25.0
1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False,58.0
1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True,35.0
0,1,male,,0,0,31.0,S,First,man,True,,Southampton,no,True,55.31733333333334
1,3,male,25.0,0,0,0.0,S,Third,man,True,,Southampton,yes,True,25.0
1,2,female,41.0,0,1,19.5,S,Second,woman,False,,Southampton,yes,False,41.0
0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False,37.0
1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,18.328000000000003
1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,63.0
0,3,female,45.0,0,0,7.75,S,Third,woman,False,,Southampton,no,True,45.0
0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True,36.97476334776336
0,3,male,7.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,7.0
1,3,female,35.0,1,1,20.25,S,Third,woman,False,,Southampton,yes,False,35.0
0,3,male,65.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,65.0
0,3,male,28.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,28.0
0,3,male,16.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,16.0
1,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,19.0
0,1,male,,0,0,26.0,S,First,man,True,A,Southampton,no,True,59.89414285714287
0,3,male,33.0,0,0,8.6625,C,Third,man,True,,Cherbourg,no,True,33.0
1,3,male,30.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,30.0
0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,22.0
1,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True,42.0
1,3,female,22.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,22.0
1,1,female,26.0,0,0,78.85,S,First,woman,False,,Southampton,yes,True,26.0
1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False,19.0
0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True,36.0
0,3,female,24.0,0,0,8.85,S,Third,woman,False,,Southampton,no,True,24.0
0,3,male,24.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,24.0
0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,55.43666666666667
0,3,male,23.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,23.5
0,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False,2.0
1,1,male,,0,0,30.5,S,First,man,True,C,Southampton,yes,True,41.016000000000005
1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False,50.0
1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,18.328000000000003
1,3,male,,2,0,23.25,Q,Third,man,True,,Queenstown,yes,False,22.58033333333333
0,3,male,19.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,19.0
1,2,female,,0,0,12.35,Q,Second,woman,False,E,Queenstown,yes,True,31.02
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,31.040909621040278
1,1,male,0.92,1,2,151.55,S,First,child,False,C,Southampton,yes,False,0.92
1,1,female,,0,0,110.8833,C,First,woman,False,,Cherbourg,yes,True,35.64666666666667
1,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False,17.0
0,2,male,30.0,1,0,24.0,C,Second,man,True,,Cherbourg,no,False,30.0
1,1,female,30.0,0,0,56.9292,C,First,woman,False,E,Cherbourg,yes,True,30.0
1,1,female,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True,24.0
1,1,female,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False,18.0
0,2,female,26.0,1,1,26.0,S,Second,woman,False,,Southampton,no,False,26.0
0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,28.0
0,2,male,43.0,1,1,26.25,S,Second,man,True,,Southampton,no,False,43.0
1,3,female,26.0,0,0,7.8542,S,Third,woman,False,,Southampton,yes,True,26.0
1,2,female,24.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,24.0
0,2,male,54.0,0,0,14.0,S,Second,man,True,,Southampton,no,True,54.0
1,1,female,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False,31.0
1,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False,40.0
0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,22.0
0,3,male,27.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,27.0
1,2,female,30.0,0,0,12.35,Q,Second,woman,False,,Queenstown,yes,True,30.0
1,2,female,22.0,1,1,29.0,S,Second,woman,False,,Southampton,yes,False,22.0
0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,9.062333333333331
